,Deoxy carnitine,Acetyl Carnitine,Carnitine,Propeonyl Carnitine,MethylGlutaryl carnitine,2-methyl butyryl carnitine,Isovaleryl carnitine,Butryl Carnitine,Isobutyryl Carnitine,Heptanoyl Carnitine,Hexanoyl arnitine,Octonyl Carnitine,Decanoyl carnitine,Lauroyl carnitine,Myristoyl carnitin,Palmitoylcarnitine,Stearoyl carnitine,Group
Group-1,0.942020063,5.650751615,2.444957245,1.691414482,-2.365641281,5.831498119,4.86170457,6.664850597,6.680893563,1.928963155,1.89301107,-0.196651629,-0.687981058,1.023222213,4.589139151,6.777278595,3.208790287,CTRL
Group-2,0.817108146,5.735532822,2.448494428,1.574406583,-2.30030923,5.823832185,4.847637711,6.703323067,6.681017515,1.997693268,1.953102251,-0.127893636,-0.590906834,1.020478588,4.609106073,6.865459827,3.345618871,CTRL
Group-3,0.582902582,5.657454454,2.38591458,1.404786248,-2.662218618,5.662940173,4.691213717,6.514892004,6.500185082,1.759550279,1.727444049,-0.442461627,-0.911485418,0.972641092,4.589050935,6.905142255,3.560454077,CTRL
Group-4,0.677158628,5.741510543,2.478416458,1.415567804,-2.646423534,5.752711437,4.803502812,6.633529509,6.597703127,1.868001278,1.824199275,-0.287050887,-0.854613394,1.069030593,4.671549426,6.958612837,3.561021462,CTRL
Group-2-1,-2.546795122,3.487016082,2.713515121,3.46114391,-2.111609687,3.427223741,2.446374965,4.275532939,4.240781199,-0.605007135,-0.670056115,-4.065417613,-3.288707906,-3.097450346,0.378988963,6.237740434,6.285231425,KD
Group-2-2,-2.212874168,3.400190248,2.699192375,3.432757314,-2.614190094,3.425212905,2.443314422,4.298949364,4.283758928,-0.467496143,-0.494032976,-3.838106758,-4.279478405,-2.919134292,0.245403492,5.476378686,5.162139453,KD
Group-2-3,0.493003804,5.470969584,2.774801816,3.148615077,-2.609715031,3.429280443,2.488500938,4.224053574,4.253167115,-0.908239083,-0.87752269,-4.662826367,-3.674218266,-4.207231313,0.190479683,5.922523392,5.862372184,KD
Group-2-4,-0.929628173,5.671506002,2.278019428,2.134382758,-4.51050402,3.447055604,2.455713201,3.32818476,3.279426372,-0.965502497,-0.863841205,-5.142289056,-5.664728243,-4.696628328,-0.376901141,5.115965605,4.768680907,KD
Group-3-1,2.53857366,6.36473552,3.092339104,2.98381011,-2.620538923,5.519473944,4.553801977,6.330997357,6.335148377,2.388558692,2.37718421,-0.084730612,-0.952948162,0.647579891,4.456417281,7.638359815,5.857321739,sh_CTRL_10
Group-3-2,2.329416739,6.30575053,3.035887068,2.898773861,-2.416761561,5.426783825,4.49159031,6.284162014,6.299613694,2.379038377,2.371828529,-0.137303235,-0.982786624,0.545442512,4.361019639,7.510330274,5.782219994,sh_CTRL_10
Group-3-3,2.151532206,6.276927744,2.973441255,2.93189383,-2.704918574,5.153146501,4.188196825,5.944575396,5.945383597,2.158073833,2.14492518,-0.111459672,-0.576328001,0.664831797,4.688219962,8.442589164,7.566614393,sh_CTRL_10
Group-3-4,2.092532011,6.275893456,3.056960554,2.694744525,-2.436648829,5.183854316,4.22961507,6.022454867,6.005130337,2.223050255,2.270877325,0.041028498,-0.433712995,0.831626594,4.814580493,8.542412512,7.636646608,sh_CTRL_10
Group-4-1,1.873430616,5.383021286,3.239456579,2.550557022,-2.467917709,5.083376157,4.083015839,5.837108293,5.859407853,1.209337301,1.165468406,-1.20057819,-2.631543154,-2.229524624,1.227572514,5.068561049,3.912598539,KD_10
Group-4-2,1.81947198,5.369583034,3.266838446,2.49098651,-2.501092338,5.228525129,4.250179314,5.974427485,6.004186717,1.283309086,1.262239751,-0.975507865,-2.719749484,-2.218379419,1.243226529,5.025669288,3.800595183,KD_10
Group-4-3,1.779800432,5.33496978,3.291380089,2.345794746,-2.803971235,5.086581819,4.104596025,5.873392459,5.851353581,1.186624232,1.141675404,-1.362095337,-2.796180685,-2.174037594,1.334832794,5.15522466,3.889707631,KD_10
Group-4-4,1.636568487,5.34595691,3.259319333,2.324192049,-2.640411078,5.1965793,4.227670178,5.982937665,5.956466278,1.280616,1.287801133,-1.059466037,-2.646342408,-2.261080113,1.470753135,5.041504885,3.655676774,KD_10
